predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
numdoncat,TRI,predictorvalue,4,2549,7.62,1.90,0.106730764,1.0708512E-01,0,0.4736457375
meanstoragetime,CO2,predspline,2,1070,4.26,2.13,0.1186581463,1.1916171E-01,0,0.5093396312
donorparity,SR,predictorvalue,2,84,4.36,2.18,0.1128302712,1.1918402E-01,0,0.5093396312
donorparity,ALAT,predictorvalue,2,16877,4.23,2.12,0.1205585248,1.2059050E-01,0,0.5093396312
meandonationtime,BILI,predspline,2,22279,4.23,2.11,0.1209215667,1.2094579E-01,0,0.5093396312
idbloodgroupcat,BASOF,predictorvalue,1,1932,2.40,2.40,0.1210707567,1.2123454E-01,0,0.5093396312
meandonorhb,LPK,predspline,2,55772,4.20,2.10,0.1226956049,1.2270529E-01,0,0.5093396312
timesincecat,CA_F,predictorvalue,3,20364,5.78,1.93,0.1228697085,1.2290587E-01,0,0.5093396312
meandonorhb,BILI_K,predspline,2,4786,4.17,2.09,0.1242382026,1.2435110E-01,0,0.510727718
meandonationtime,HBA1C,predspline,2,180,4.08,2.04,0.1299250749,1.3292062E-01,0,0.5177097037
meandonorsex,ALAT,predictorvalue,1,16878,2.25,2.25,0.133220973,1.3323968E-01,0,0.5177097037
meandonorage,OSMO,predspline,2,6496,4.03,2.01,0.1335719397,1.3365526E-01,0,0.5177097037
meanweekday,MCH,predictorvalue,5,36916,8.41,1.68,0.1349089076,1.3493873E-01,0,0.5177097037
meanstoragetime,GLUKOS,predspline,2,44516,4.01,2.00,0.1349738422,1.3498600E-01,0,0.5177097037
meandonorsex,APTT,predictorvalue,1,22103,2.23,2.23,0.1352339027,1.3524818E-01,0,0.5177097037
meandonorhb,METHB,predspline,2,15394,3.98,1.99,0.1366362165,1.3667138E-01,0,0.5177097037
meandonationtime,FIB,predspline,2,13612,3.97,1.98,0.1375226132,1.3756238E-01,0,0.5177097037
meandonorhb,ASAT,predspline,2,15151,3.96,1.98,0.1378379026,1.3787363E-01,0,0.5177097037
meanweekday,MYELO,predictorvalue,5,352,8.40,1.68,0.1357188817,1.3882922E-01,0,0.5177097037
meandonorhb,LD,predspline,2,6637,3.92,1.96,0.1405743899,1.4065592E-01,0,0.5177097037
meandonationtime,ALAT,predspline,2,16808,3.92,1.96,0.1411468505,1.4117904E-01,0,0.5177097037
donorparity,LAKTAT,predictorvalue,2,18870,3.91,1.95,0.1415987618,1.4162743E-01,0,0.5177097037
foreigndonor,LD,predictorvalue,1,6693,2.16,2.16,0.1417604409,1.4180744E-01,0,0.5177097037
numdoncat,FIB,predictorvalue,4,13667,6.87,1.72,0.1430299765,1.4309771E-01,0,0.5183066803
meanstoragetime,NEUTRO,predspline,2,10886,3.79,1.90,0.1502085473,1.5025813E-01,0,0.5380310472
timesincecat,TRI,predictorvalue,3,2550,5.31,1.77,0.150592762,1.5088262E-01,0,0.5380310472
