Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
MONO,foreigndonor,1934,5.0587620E-01,8.1789958E-01
PH,donorparity,20411,4.9785765E-01,8.1789958E-01
BE,meandonorsex,20174,4.9101930E-01,8.1789958E-01
OSMO,meandonorhb,6423,5.0460707E-01,8.1789958E-01
LD,idbloodgroupcat,6684,4.9350362E-01,8.1789958E-01
CA,timesincecat,12745,4.9599598E-01,8.1789958E-01
PO2,meandonorage,16557,4.9027035E-01,8.1789958E-01
MCHC,meandonorage,23932,4.9664474E-01,8.1789958E-01
NEUTRO,donorparity,10910,5.1157791E-01,8.2495286E-01
CRP,meandonorhb,47257,5.1532096E-01,8.2846814E-01
TROP_I,meandonorage,585,5.1644767E-01,8.2846814E-01
KREA,meanweekday,50348,5.2976990E-01,8.3263589E-01
TROP_I,foreigndonor,585,5.5004770E-01,8.3263589E-01
CO2,donorparity,1078,5.5023018E-01,8.3263589E-01
PO2,foreigndonor,16565,5.3325487E-01,8.3263589E-01
NTPROBNP,foreigndonor,826,5.4406658E-01,8.3263589E-01
HAPTO,meandonorhb,374,5.4112614E-01,8.3263589E-01
LAKTAT,meandonationtime,18844,5.3275279E-01,8.3263589E-01
ERYTRO,meandonationtime,36483,5.2193355E-01,8.3263589E-01
MCHC,foreigndonor,23945,5.4919698E-01,8.3263589E-01
GT,meandonorsex,7740,5.4416582E-01,8.3263589E-01
CA_F,meandonorhb,20143,5.5148611E-01,8.3263589E-01
GLUKOS,meandonorsex,44590,5.3925545E-01,8.3263589E-01
HB,foreigndonor,91465,5.2409520E-01,8.3263589E-01
RET,idbloodgroupcat,504,5.4085110E-01,8.3263589E-01
NTPROBNP,idbloodgroupcat,825,5.4994657E-01,8.3263589E-01
FERRITIN,foreigndonor,2571,5.3027929E-01,8.3263589E-01
ALAT,timesincecat,16891,5.3891451E-01,8.3263589E-01
SR,meandonorage,91,5.4009242E-01,8.3263589E-01
NTPROBNP,meandonorage,826,5.2944713E-01,8.3263589E-01
LAKTAT,numdoncat,18887,5.2195579E-01,8.3263589E-01
EOSINO,numdoncat,1923,5.4968871E-01,8.3263589E-01
ALB,donorparity,23087,5.3141557E-01,8.3263589E-01
LPK,meandonorage,56333,5.4345944E-01,8.3263589E-01
LD,meandonorage,6698,5.2637844E-01,8.3263589E-01
ALP,meandonorhb,6630,5.5381098E-01,8.3410162E-01
GT,meandonorage,7740,5.5601336E-01,8.3468132E-01
FERRITIN,numdoncat,2571,5.5690588E-01,8.3468132E-01
TROP_T,meandonorsex,4360,5.6183365E-01,8.4002313E-01
