predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
timesincecat,APTT,predictorv,3,22117,5.58,1.86,0.1337375668,1.3377101E-01,0,0.5138434317
foreigndonor,BE,predictorv,1,20178,2.24,2.24,0.1343800065,1.3439565E-01,0,0.5138434317
meanweekday,MCH,predictorvalue,5,36916,8.41,1.68,0.1349089076,1.3493873E-01,0,0.5138434317
meanstoragetime,GLUKOS,predspline,2,44516,4.01,2.00,0.1349738422,1.3498600E-01,0,0.5138434317
meandonorsex,APTT,predictorv,1,22103,2.23,2.23,0.1352339027,1.3524818E-01,0,0.5138434317
meandonorhb,METHB,predspline,2,15394,3.98,1.99,0.1366362165,1.3667138E-01,0,0.5138434317
meandonationtime,FIB,predspline,2,13612,3.97,1.98,0.1375226132,1.3756238E-01,0,0.5138434317
meandonorhb,ASAT,predspline,2,15151,3.96,1.98,0.1378379026,1.3787363E-01,0,0.5138434317
meanweekday,MYELO,predictorv,5,352,8.40,1.68,0.1357188817,1.3882922E-01,0,0.5138434317
meandonorhb,LD,predspline,2,6637,3.92,1.96,0.1405743899,1.4065592E-01,0,0.5138434317
meandonationtime,ALAT,predspline,2,16808,3.92,1.96,0.1411468505,1.4117904E-01,0,0.5138434317
donorparity,LAKTAT,predictorv,2,18870,3.91,1.95,0.1415987618,1.4162743E-01,0,0.5138434317
foreigndonor,LD,predictorvalue,1,6693,2.16,2.16,0.1417604409,1.4180744E-01,0,0.5138434317
numdoncat,FIB,predictorvalue,4,13667,6.87,1.72,0.1430299765,1.4309771E-01,0,0.5154865016
meandonorsex,K,predictorv,1,46802,2.11,2.11,0.1467998771,1.4680658E-01,0,0.5257724
idbloodgroupcat,NEUTRO,predictorv,1,10896,2.09,2.09,0.1478811621,1.4790993E-01,0,0.5266619467
meanstoragetime,NEUTRO,predspline,2,10886,3.79,1.90,0.1502085473,1.5025813E-01,0,0.5311068216
timesincecat,TRI,predictorv,3,2550,5.31,1.77,0.150592762,1.5088262E-01,0,0.5311068216
meanweekday,FERRITIN,predictorvalue,5,2561,8.01,1.60,0.1555866239,1.5601670E-01,0,0.546058453
meandonorage,CL,predspline,2,21059,3.70,1.85,0.1571322636,1.5715782E-01,0,0.5469447233
donorparity,COHB,predictorvalue,2,14189,3.65,1.83,0.161055104,1.6109295E-01,0,0.5549339026
numdoncat,CL,predictorvalue,4,21069,6.56,1.64,0.1612113424,1.6125514E-01,0,0.5549339026
foreigndonor,ALB,predictorvalue,1,23093,1.93,1.93,0.1643144083,1.6432781E-01,0,0.5602140252
idbloodgroupcat,TROP_T,predictorv,1,4352,1.93,1.93,0.1645372521,1.6460834E-01,0,0.5602140252
meandonationtime,STDBIK,predspline,2,20254,3.59,1.79,0.166174585,1.6620101E-01,0,0.5612236114
meandonationtime,NEUTRO,predspline,2,10876,3.58,1.79,0.1666779512,1.6672714E-01,0,0.5612236114
